Instrument_#,I-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Instrument_Name,Alt_Instrument_Names,Sachs_Number,Sachs_Suffix,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
12,58,JAVA,17557,,HARP,,32211,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 418",,@Kunst1949MusicinJavaII  ,
25,59,JAVA,17557,,MOUTH ORGAN,,412132,25,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 416",,@Kunst1949MusicinJavaII  ,
35,60,JAVA,17557,,CLAPPING,,1112,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 416",,@Kunst1949MusicinJavaII  ,
32,61,JAVA,17557,,SCRAPER,,111211,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 416",,@Kunst1949MusicinJavaII  ,
26,62,JAVA,17557,,CYMBAL,,111142,41,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 416",,@Kunst1949MusicinJavaII  ,
13,63,JAVA,17557,,TRUMPET,,4231211,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 417",,@Kunst1949MusicinJavaII  ,
13,64,JAVA,17557,,TRUMPET,,42311,0,Shell,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 417",,@Kunst1949MusicinJavaII  ,
46,65,JAVA,17557,,DRUM,,21126,0,Waisted,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 417",,@Kunst1949MusicinJavaII  ,
29,66,JAVA,17557,,BELL,,11124212,3,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 417",,@Kunst1949MusicinJavaII  ,
26,67,JAVA,17557,,CYMBAL,,111142,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 417",,@Kunst1949MusicinJavaII  ,
28,68,JAVA,17557,,XYLOPHONE,,111212,4,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 428",,@Kunst1949MusicinJavaII  ,
27,69,JAVA,17557,,KETTLE GONG,Kempyang,1112412,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 425",,@Kunst1949MusicinJavaII  ,
21,70,JAVA,17557,,PANPIPE,Hatong,42111211,41,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 376",,@Kunst1949MusicinJavaI  ,
32,71,JAVA,17557,,SCRAPER,,112,0,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 366",,@Kunst1949MusicinJavaI  ,
33,72,AINU,"16809, 10209",,JEWS HARP,Makkuri,1211,0,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 247",,@Malm1959JapaneseMusicandMusicalInstruments,
7,73,AINU,"16809, 10209",,ZITHER,Tonkori,3141,16,,"Malm, W. (1959). Japanese Music and Musical Instruments. Rutland and Tokyo: Charles E. Tuttle.","Malm, 243",,@Malm1959JapaneseMusicandMusicalInstruments,
10,74,BULGARIA,"22254, 12739, 12750, 14653,12772",,GUITAR,Tambura,321322,16,,,,,,Source not found
20,75,BULGARIA,"22254, 12739, 12750, 14653,12772",,FLUTE,,42112112,27,,,,,,Original coding sheet missing
19,76,BULGARIA,"22254, 12739, 12750, 14653,12772",,BAGPIPE,,4221112,26,,,,,,Source not found
