Instrument_#,I-id,Instrument_Name,Archival_Culture_Name,Sachs_Number,Sachs_Suffix,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Active
27,417,GONG SET,BALI,1112412,0,0,0,4,2,2,1,4,1,10,13,0,6,11,7,1
20,423,FLUTE,BALI,42111122,27,10,0,7,2,1,2,2,13,14,0,0,6,6,12,1
43,934,DRUM,BARA,21122,0,0,3,3,2,2,1,0,0,0,0,5,0,0,0,1
35,935,CLAPPING,BARA,1112,0,0,0,0,0,1,1,2,10,11,0,0,1,0,0,1
31,927,RATTLE,BARA,11213,0,0,0,1,0,2,1,4,10,11,15,0,1,6,0,1
20,931,WHISTLE,BARA,42111,0,10,0,1,3,2,1,2,15,11,0,0,1,6,2,1
20,930,FLUTE,BARA,4211111,27,10,0,2,2,2,1,3,11,10,15,0,1,6,3,1
10,926,FIDDLE,BARA,321322,18,9,0,3,2,1,1,4,11,15,10,0,5,7,3,1
13,933,HORN,BARA,4231211,0,10,0,2,2,2,1,1,9,0,0,0,1,2,4,1
28,929,XYLOPHONE,BARA,111212,3,5,0,5,5,1,1,1,15,0,0,0,6,14,7,1
6,932,ZITHER,BARA,31211,16,7,0,7,2,1,1,3,15,10,11,0,5,15,9,1
5,928,MUSICAL BOW,BARA,3111212,21,8,0,8,2,2,1,1,15,0,0,0,1,9,12,1
26,492,POT,BASQUE,111242,0,0,0,0,0,3,0,2,12,0,0,0,0,0,0,1
29,488,BELLS,BASQUE,111242,0,0,0,1,0,1,1,1,7,0,0,0,0,2,0,1
31,497,RATTLE,BASQUE,11224,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
33,490,JEWS HARP,BASQUE,1212,0,0,0,1,0,0,1,1,10,0,0,0,0,4,2,1
14,491,HORN,BASQUE,4231212,0,10,0,0,2,0,0,0,7,0,0,0,0,6,2,1
18,487,SHAWM,BASQUE,422122,0,10,0,2,3,4,1,1,16,0,0,0,0,6,2,1
18,486,SHAWM,BASQUE,422112,27,10,0,3,3,2,1,0,7,10,0,0,0,6,2,1
26,495,PERCUSSION STICK,BASQUE,111211,0,0,0,0,0,1,1,1,10,12,0,0,0,6,2,1
20,1388,PIPE,BASQUE,421221 2,27,10,0,2,2,1,1,2,16,10,0,0,1,6,2,1
20,485,FLUTE,BASQUE,42122112,27,10,0,4,2,1,2,3,10,16,9,0,1,6,2,1
47,1295,FRAME DRUM,BASQUE,211311,0,0,2,2,5,1,1,2,10,16,11,0,1,6,4,1
37,493,DRUM,BASQUE,23113,0,0,9,3,4,1,1,2,12,16,0,8,1,6,5,1
39,494,FRICTION STICK,BASQUE,13121,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1
10,489,VIOLIN,BASQUE,321322,18,9,0,5,3,2,1,2,10,1,0,0,0,0,6,1
42,1389,DRUM,BASQUE,211212,0,0,3,3,2,1,1,2,16,10,9,0,1,2,8,1
26,496,PERCUSSION STICK,BASQUE,11121,0,0,0,8,2,1,1,0,5,12,0,0,1,15,12,1
52,784,DRUM,BAULE,211,0,0,4,0,2,4,3,3,1,9,8,4,1,0,0,1
31,787,SISTRUM,BAULE,1122,0,0,0,0,2,1,1,3,10,1,6,0,1,6,0,1
5,786,MUSICAL BOW,BAULE,31112111,21,8,0,3,2,2,1,0,0,0,0,0,1,6,1,1
14,782,HORN,BAULE,42312121,0,11,0,2,2,2,1,4,1,14,6,0,1,6,1,1
25,778,BULLROARER,BAULE,41222,0,0,0,0,1,2,1,1,1,0,0,1,1,6,1,1
20,775,WHISTLE,BAULE,42111,0,11,0,1,2,2,1,1,10,0,0,0,1,6,2,1
14,783,HORN,BAULE,42312221,0,11,0,2,2,4,3,2,8,9,0,9,1,6,2,1
20,776,FLUTE,BAULE,42112112,0,11,0,2,2,3,1,3,10,16,11,9,6,6,2,1
35,791,CLAPPING,BAULE,1112,0,0,0,0,5,1,1,3,1,10,11,0,1,0,4,1
43,790,DRUM,BAULE,2112211,3,0,4,4,2,2,1,2,1,10,0,0,1,2,4,1
26,792,STICK,BAULE,11111,4,0,0,1,5,1,1,3,1,10,11,0,1,6,4,1
31,781,RATTLE,BAULE,11213,4,0,0,3,2,2,1,4,6,1,10,9,1,6,4,1
43,788,DRUM,BAULE,2112211,0,0,4,8,2,2,1,3,1,14,10,0,1,15,4,1
42,785,DRUM,BAULE,211221,2,0,4,0,2,4,3,1,9,0,0,9,1,2,5,1
29,774,BELL,BAULE,111242121,3,0,0,2,2,2,1,3,1,6,10,0,1,6,5,1
12,777,HARP,BAULE,3221,16,7,0,2,2,3,1,3,4,16,15,0,1,6,5,1
42,789,DRUM,BAULE,2112121,3,0,4,6,2,2,1,2,1,10,0,0,1,2,7,1
29,773,BELL,BAULE,111242122,6,0,0,1,2,2,1,3,10,2,6,9,2,14,9,1
50,780,DRUM,BAULE,2321,0,0,3,3,1,2,1,1,1,0,0,1,5,15,10,1
28,779,XYLOPHONE,BAULE,111212,4,0,0,4,2,2,1,2,15,16,0,9,6,15,10,1
10,1065,VIOL,BEDOUIN,321322,18,9,0,0,2,2,1,2,10,15,0,1,0,0,0,1
35,1066,CLAPPING,BEDOUIN,1112,0,0,0,0,4,1,1,3,1,11,10,0,9,0,0,1
47,1624,FRAME DRUM,BEDOUIN,211321,10,8,2,2,3,1,1,3,10,12,11,0,9,6,4,1
42,1064,DRUM,BEDOUIN,211221,4,8,3,0,2,2,1,1,11,10,12,0,1,2,5,1
26,1101,CASTANET,BEMBA,111141,3,0,0,2,3,2,1,2,1,10,0,0,1,6,3,1
35,1280,CLAPPING,BEMBA,1112,0,0,0,0,4,1,1,2,10,1,0,0,1,0,4,1
11,1106,LYRE,BEMBA,3212,0,7,0,3,3,3,1,2,3,15,0,0,1,6,4,1
52,1108,DRUM,BEMBA,211,0,0,1,8,2,1,1,2,9,1,0,0,1,15,4,1
45,1102,DRUM,BEMBA,21125,0,0,1,8,2,1,1,3,1,3,10,0,1,15,4,1
10,1105,LUTE,BEMBA,321322,0,7,0,2,2,2,1,2,3,15,0,0,6,0,5,1
43,1103,BASS DRUM,BEMBA,21123,0,0,1,8,2,2,1,3,1,3,10,0,1,15,5,1
38,1109,IDIOPHONE,BEMBA,11114,4,0,0,0,6,2,1,1,7,0,0,0,4,16,5,1
26,1104,MARIMBA,BEMBA,111232,4,5,0,7,2,2,1,1,1,0,0,0,6,15,7,1
30,1107,DRUM,BEMBA,111231,0,0,4,2,2,2,1,2,8,1,0,0,3,15,9,1
23,917,ACCORDION,BETSILEO,412132,30,0,0,0,2,3,3,2,11,15,0,0,0,0,0,1
35,921,CLAPPING,BETSILEO,1112,0,0,0,0,4,1,1,3,15,11,10,0,9,0,0,1
26,922,CASTANET,BETSILEO,111141,0,0,0,1,0,2,1,1,11,0,0,1,0,6,0,1
16,925,RIBBON REED,BETSILEO,41214,0,10,0,1,0,2,1,0,0,0,0,0,0,0,2,1
